City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lompoc,34.6391,-120.4579,20.07,71,0,6.17,US,1724289680
83,whitehorse,60.7161,-135.0538,18.43,34,75,5.66,CA,1724289915
84,susuman,62.7833,148.1667,12.24,49,11,0.82,RU,1724289849
85,fale old settlement,-9.3852,-171.2468,27.89,78,78,8.8,TK,1724289916
86,stornoway,58.2093,-6.3865,12.98,95,75,12.86,GB,1724289916
87,chhor,25.5167,69.7667,28.23,75,19,5.82,PK,1724289916
88,sisimiut,66.9395,-53.6735,5.19,78,12,2.33,GL,1724289916
89,san luis de la loma,17.2706,-100.8939,28.16,81,100,3.55,MX,1724289916
90,urangan,-25.3,152.9,20.83,80,7,3.74,AU,1724289916
91,punta arenas,-53.15,-70.9167,4.06,87,0,7.72,CL,1724289916
92,raduzhny,62.0961,77.475,12.98,80,63,2.31,RU,1724289916
93,avarua,-21.2078,-159.775,26.03,73,20,6.69,CK,1724289916
94,gandajika,-6.75,23.95,21.93,32,100,1.42,CD,1724289850
95,bredasdorp,-34.5322,20.0403,4.9,75,41,1.86,ZA,1724289916
96,ust-nera,64.5667,143.2,14.22,45,7,1.32,RU,1724289916
97,walvis bay,-22.9575,14.5053,13.41,74,4,1.59,NA,1724289916
98,arraial do cabo,-22.9661,-42.0278,21.78,88,0,5.83,BR,1724289917
99,kodiak,57.79,-152.4072,16.73,67,100,1.54,US,1724289917
100,atafu village,-8.5421,-172.5159,28.06,77,12,9.31,TK,1724289917
101,katsuura,35.1333,140.3,26.98,82,100,4.47,JP,1724289917
102,namibe,-15.1961,12.1522,17.18,93,9,3.31,AO,1724289917
103,geraldton,-28.7667,114.6,20.23,83,75,9.26,AU,1724289917
104,utrik,11.2278,169.8474,28.18,74,98,3.8,MH,1724289917
105,plymouth,41.8334,-70.8328,18.86,80,0,2.06,US,1724289917
106,fort bragg,35.139,-79.006,21.06,67,0,1.54,US,1724289917
107,badger,64.8,-147.5333,11.95,85,100,2.06,US,1724289917
108,todtnau,47.8294,7.9438,12.51,88,97,1.38,DE,1724289917
109,sake,-1.5736,29.045,17.72,79,90,0.41,CD,1724289917
110,pokhara,28.2333,83.9833,21.89,86,76,0.74,NP,1724289851
111,lake oswego,45.4207,-122.6706,23.7,60,75,5.66,US,1724289918
112,al wajh,26.2455,36.4525,30.97,66,0,3.6,SA,1724289851
113,chernushka,56.5072,56.0766,9.88,98,39,4.4,RU,1724289918
114,sangla hill,31.7167,73.3833,27.99,78,0,2.66,PK,1724289918
115,papatowai,-46.5619,169.4708,12.71,51,82,2.26,NZ,1724289851
116,hakodate,41.7758,140.7367,24.17,83,75,3.09,JP,1724289918
117,ghat,24.9647,10.1728,33.94,20,5,4.4,LY,1724289851
118,serchhip,23.3,92.8333,23.23,98,99,0.16,IN,1724289918
119,usogorsk,63.4106,48.6872,9.45,93,20,1.01,RU,1724289918
120,yellowknife,62.456,-114.3525,14.12,64,20,4.63,CA,1724289918
121,margaret river,-33.95,115.0667,11.45,92,100,6.53,AU,1724289918
122,port elizabeth,-33.918,25.5701,12.16,76,75,11.32,ZA,1724289918
123,siquijor,9.2142,123.515,30.95,74,55,4.3,PH,1724289852
124,klaksvik,62.2266,-6.589,10.92,83,12,8.76,FO,1724289852
125,laguna,38.421,-121.4238,31.47,38,0,6.17,US,1724289919
126,puerto ayora,-0.7393,-90.3518,19.19,95,96,3.13,EC,1724289919
127,torbat-e jam,35.244,60.6225,21.17,26,0,6.0,IR,1724289852
128,sarina,-21.4333,149.2167,25.9,52,77,4.06,AU,1724289919
129,iskateley,67.6803,53.1512,6.09,95,68,1.83,RU,1724289919
130,happy valley-goose bay,53.3168,-60.3315,12.17,76,0,2.06,CA,1724289919
131,filadelfia,39.9523,-75.1638,19.55,62,20,3.6,US,1724289682
132,guercif,34.2257,-3.3536,28.24,46,100,1.87,MA,1724289919
